ID_Cliente,Nome_Cliente,Idade,Região,Data_Compra,Valor_Compra,Produto
C0001,Cliente 1,58,Norte,2023-01-26,296.25,Produto 17
C0001,Cliente 1,58,Norte,2023-09-29,87.14,Produto 17
C0001,Cliente 1,58,Norte,2023-02-11,427.16,Produto 3
C0001,Cliente 1,58,Norte,2023-11-01,43.3,Produto 8
C0001,Cliente 1,58,Norte,2023-07-26,68.74,Produto 19
C0001,Cliente 1,58,Norte,2023-05-07,293.67,Produto 2
C0001,Cliente 1,58,Norte,2023-11-14,50.17,Produto 19
C0001,Cliente 1,58,Norte,2023-10-17,266.16,Produto 9
C0001,Cliente 1,58,Desconhecido,2023-04-15,338.17,Produto 11
C0001,Cliente 1,58,Norte,2023-05-03,140.15,Produto 5
C0001,Cliente 1,58,Norte,2023-12-10,326.3,Produto 15
C0001,Cliente 1,58,Norte,2023-06-11,465.22,Produto 3
C0001,Cliente 1,58,Norte,2023-01-05,234.56,Produto 19
C0001,Cliente 1,58,Norte,2023-02-21,45.9,Produto 7
C0001,Cliente 1,58,Desconhecido,2023-02-05,440.84,Produto 12
C0001,Cliente 1,58,Norte,2023-05-26,87.3,Produto 18
C0001,Cliente 1,58,Norte,2023-01-05,337.25,Produto 18
C0001,Cliente 1,58,Norte,2023-06-03,466.56,Produto 4
C0001,Cliente 1,58,Norte,2023-03-10,139.59,Produto 4
C0001,Cliente 1,58,Norte,2023-10-11,86.17,Produto 10
C0001,Cliente 1,58,Norte,2023-11-06,113.21,Produto 11
C0001,Cliente 1,58,Norte,2023-04-15,346.87,Produto 9
C0001,Cliente 1,58,Norte,2023-09-16,249.38,Produto 2
C0001,Cliente 1,58,Norte,2023-02-17,320.8,Produto 9
C0001,Cliente 1,58,Norte,2023-01-23,11.74,Produto 5
C0001,Cliente 1,58,Norte,2023-11-23,490.1,Produto 6
C0001,Cliente 1,58,Norte,2023-08-15,280.32,Produto 14
C0001,Cliente 1,58,Norte,2023-10-15,14.74,Produto 3
C0001,Cliente 1,58,Norte,2023-12-20,452.93,Produto 18
C0001,Cliente 1,58,Norte,2023-01-19,418.95,Produto 19
C0001,Cliente 1,40,Norte,2023-10-10,82.57,Produto 5
C0001,Cliente 1,58,Norte,2023-07-03,112.94,Produto 8
C0001,Cliente 1,58,Norte,2023-12-08,60.37,Produto 18
C0001,Cliente 1,58,Norte,2023-07-28,487.18,Produto 5
C0001,Cliente 1,58,Norte,2023-05-02,433.66,Produto 6
C0001,Cliente 1,58,Norte,2023-07-31,22.15,Produto 11
C0001,Cliente 1,58,Norte,2023-07-30,403.1,Produto 8
C0001,Cliente 1,58,Norte,2023-05-17,88.01,Produto 4
