ID_Cliente,Nome_Cliente,Idade,Região,Data_Compra,Valor_Compra,Produto
C0001,Cliente 1,58,2,2023-01-26,296.25,8
C0001,Cliente 1,58,2,2023-09-29,87.14,8
C0001,Cliente 1,58,2,2023-02-11,427.16,13
C0001,Cliente 1,58,2,2023-11-01,43.3,18
C0001,Cliente 1,58,2,2023-07-26,68.74,10
C0001,Cliente 1,58,2,2023-05-07,293.67,11
C0001,Cliente 1,58,2,2023-11-14,50.17,10
C0001,Cliente 1,58,2,2023-10-17,266.16,19
C0001,Cliente 1,58,0,2023-04-15,338.17,2
C0001,Cliente 1,58,2,2023-05-03,140.15,15
C0001,Cliente 1,58,2,2023-12-10,326.3,6
C0001,Cliente 1,58,2,2023-06-11,465.22,13
C0001,Cliente 1,58,2,2023-01-05,234.56,10
C0001,Cliente 1,58,2,2023-02-21,45.9,17
C0001,Cliente 1,58,0,2023-02-05,440.84,3
C0001,Cliente 1,58,2,2023-05-26,87.3,9
C0001,Cliente 1,58,2,2023-01-05,337.25,9
C0001,Cliente 1,58,2,2023-06-03,466.56,14
C0001,Cliente 1,58,2,2023-03-10,139.59,14
C0001,Cliente 1,58,2,2023-10-11,86.17,1
C0001,Cliente 1,58,2,2023-11-06,113.21,2
C0001,Cliente 1,58,2,2023-04-15,346.87,19
C0001,Cliente 1,58,2,2023-09-16,249.38,11
C0001,Cliente 1,58,2,2023-02-17,320.8,19
C0001,Cliente 1,58,2,2023-01-23,11.74,15
C0001,Cliente 1,58,2,2023-11-23,490.1,16
C0001,Cliente 1,58,2,2023-08-15,280.32,5
C0001,Cliente 1,58,2,2023-10-15,14.74,13
C0001,Cliente 1,58,2,2023-12-20,452.93,9
C0001,Cliente 1,58,2,2023-01-19,418.95,10
C0001,Cliente 1,40,2,2023-10-10,82.57,15
C0001,Cliente 1,58,2,2023-07-03,112.94,18
C0001,Cliente 1,58,2,2023-12-08,60.37,9
C0001,Cliente 1,58,2,2023-07-28,487.18,15
C0001,Cliente 1,58,2,2023-05-02,433.66,16
C0001,Cliente 1,58,2,2023-07-31,22.15,2
C0001,Cliente 1,58,2,2023-07-30,403.1,18
C0001,Cliente 1,58,2,2023-05-17,88.01,14
C0002,Cliente 2,25,4,2023-07-15,437.36,7
C0002,Cliente 2,25,4,2023-04-24,107.79,6
C0002,Cliente 2,25,4,2023-06-29,159.54,18
C0002,Cliente 2,40,4,2023-04-25,21.6,17
C0002,Cliente 2,25,4,2023-07-24,170.85,13
C0002,Cliente 2,25,0,2023-05-23,182.06,8
C0002,Cliente 2,25,4,2023-06-19,470.23,14
C0002,Cliente 2,25,0,2023-01-20,63.12,5
C0002,Cliente 2,25,4,2023-06-26,366.99,2
C0002,Cliente 2,25,4,2023-08-12,307.04,8
C0002,Cliente 2,25,4,2023-04-08,134.81,5
C0002,Cliente 2,25,4,2023-01-01,264.76,9
C0002,Cliente 2,25,4,2023-12-18,362.52,17
C0002,Cliente 2,25,4,2023-07-06,221.34,2
C0002,Cliente 2,25,4,2023-11-16,163.82,14
C0002,Cliente 2,25,4,2023-06-03,258.49,5
C0002,Cliente 2,25,4,2023-06-17,207.18,1
C0002,Cliente 2,25,4,2023-10-11,72.37,5
C0002,Cliente 2,25,4,2023-11-12,288.86,4
C0002,Cliente 2,25,4,2023-10-08,418.53,1
C0002,Cliente 2,25,4,2023-05-27,112.99,10
C0002,Cliente 2,25,4,2023-11-07,330.81,6
C0002,Cliente 2,25,4,2023-08-15,226.66,17
C0002,Cliente 2,25,4,2023-09-19,241.86,16
C0002,Cliente 2,25,4,2023-12-04,51.55,8
C0002,Cliente 2,25,4,2023-12-06,320.14,2
C0002,Cliente 2,25,4,2023-02-17,411.03,18
C0002,Cliente 2,25,4,2023-12-11,162.11,17
C0002,Cliente 2,40,4,2023-03-17,21.97,18
C0002,Cliente 2,25,4,2023-09-01,309.52,13
C0002,Cliente 2,25,4,2023-08-22,213.08,10
C0002,Cliente 2,25,4,2023-04-10,361.99,4
C0002,Cliente 2,25,4,2023-09-11,205.83,15
C0002,Cliente 2,25,0,2023-12-02,346.93,14
C0002,Cliente 2,25,0,2023-08-06,117.23,8
C0002,Cliente 2,40,4,2023-08-26,34.61,18
C0002,Cliente 2,25,4,2023-03-04,233.67,6
C0002,Cliente 2,25,4,2023-12-08,270.25,9
C0002,Cliente 2,25,4,2023-11-01,165.48,6
C0002,Cliente 2,25,0,2023-11-10,409.35,8
C0002,Cliente 2,25,4,2023-08-07,416.98,9
C0003,Cliente 3,19,1,2023-08-17,449.63,7
C0003,Cliente 3,19,1,2023-08-19,137.0,18
C0003,Cliente 3,19,1,2023-09-06,317.11,19
C0003,Cliente 3,19,1,2023-08-14,47.97,1
C0003,Cliente 3,19,1,2023-05-01,143.14,2
C0003,Cliente 3,19,1,2023-10-04,49.48,15
C0003,Cliente 3,40,1,2023-04-29,197.69,15
C0003,Cliente 3,19,0,2023-12-28,114.84,5
C0003,Cliente 3,19,1,2023-07-28,172.13,6
C0003,Cliente 3,19,1,2023-08-01,40.51,5
C0003,Cliente 3,19,1,2023-07-19,453.37,10
C0003,Cliente 3,19,1,2023-12-23,19.57,10
C0003,Cliente 3,19,1,2023-07-14,243.72,3
C0003,Cliente 3,19,1,2023-06-02,379.2,5
C0003,Cliente 3,19,1,2023-10-03,376.28,9
C0003,Cliente 3,19,1,2023-11-05,449.93,7
C0003,Cliente 3,19,1,2023-04-23,143.74,7
C0003,Cliente 3,19,1,2023-01-15,200.54,4
